iter	Logloss
0	0.6576357252
1	0.632813916
2	0.6093465622
3	0.5886956755
4	0.5709951852
5	0.5565459895
6	0.5443605522
7	0.5343271277
8	0.5277278378
9	0.5207111254
10	0.5143224053
11	0.5084697563
12	0.5025342717
13	0.4980751948
14	0.4941575579
15	0.4910284515
16	0.4847064601
17	0.4816857656
18	0.4791626744
19	0.476921985
20	0.4727052492
21	0.4708049879
22	0.4683414863
23	0.4665288985
24	0.4647361641
25	0.4634429799
26	0.4598988698
27	0.4585835313
28	0.4576417786
29	0.4561789998
30	0.4551609015
31	0.4529265251
32	0.4521091732
33	0.4505819963
34	0.447976217
35	0.4465797539
36	0.4436476474
37	0.4427804113
38	0.44220189
39	0.4415591181
40	0.4408542786
41	0.4405845911
42	0.4395591474
43	0.4376142824
44	0.4372313155
45	0.4364879197
46	0.4358288049
47	0.4353074543
48	0.4331797198
49	0.4326106975
50	0.4320600241
51	0.4301584353
52	0.4288677291
53	0.4274338307
54	0.4258644395
55	0.4254404384
56	0.425250135
57	0.42489242
58	0.4243328082
59	0.4237040487
60	0.4233070399
61	0.4203723375
62	0.419919102
63	0.4190353755
64	0.4186453582
65	0.4169177004
66	0.4166603439
67	0.4161327393
68	0.4157784758
69	0.4154135924
70	0.4152595443
71	0.4143096496
72	0.4140307877
73	0.4128417379
74	0.4125834373
75	0.4122086124
76	0.4118218106
77	0.4116276427
78	0.4111742303
79	0.4108052463
80	0.4097539903
81	0.409534541
82	0.4092483631
83	0.408742264
84	0.4085081828
85	0.4082151019
86	0.4079019317
87	0.4072155886
88	0.4070334566
89	0.4067969859
90	0.4065328739
91	0.406080671
92	0.4057831356
93	0.4055188466
94	0.4051133124
95	0.4047275726
96	0.4045857079
97	0.4043678516
98	0.4040937686
99	0.4038305121
100	0.4034848036
101	0.4030814228
102	0.4027965429
103	0.4025983926
104	0.4022354266
105	0.4019616092
106	0.4008744518
107	0.4006966563
108	0.4004611591
109	0.4001930351
110	0.3999065327
111	0.3996533357
112	0.3993542368
113	0.3983605939
114	0.3962637752
115	0.3960168616
116	0.3957469382
117	0.3951929608
118	0.3949051899
119	0.394710432
120	0.3944665274
121	0.3941429732
122	0.3938028991
123	0.3935730364
124	0.3932885105
125	0.3930819232
126	0.3928534764
127	0.3925907509
128	0.3923541623
129	0.3921384595
130	0.3919086558
131	0.3915567818
132	0.3909956654
133	0.3907735612
134	0.3905720478
135	0.3899673897
136	0.3897104462
137	0.3894843004
138	0.389289985
139	0.3890425109
140	0.3888082822
141	0.3886278022
142	0.3884139285
143	0.3882628893
144	0.3880435285
145	0.3877972639
146	0.3875307034
147	0.3873256501
148	0.3871060533
149	0.3869064279
150	0.3867334409
151	0.3857815403
152	0.3854542101
153	0.3852417523
154	0.3850560509
155	0.3848410856
156	0.3846776565
157	0.3842552779
158	0.3840200757
159	0.3836301764
160	0.3834569239
161	0.3832761784
162	0.3830959344
163	0.382992213
164	0.3826820517
165	0.3824917778
166	0.3822994979
167	0.3820560948
168	0.3818593604
169	0.3817010643
170	0.3806783935
171	0.3805148759
172	0.3803464909
173	0.3788694932
174	0.3786625224
175	0.378549774
176	0.3784106233
177	0.3782829775
178	0.3780880721
179	0.377846616
180	0.3776032423
181	0.3774500497
182	0.3772714282
183	0.3771247845
184	0.3769767839
185	0.3765031345
